bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio2,bio1,wind_avg,vapr_avg,srad_avg
3,375,3,448,95.86513,1,169,757,21.81733,24.59467,21.81733,24.394,16.848,14.724,31.572,121.94722,75.1464,12.66067,23.61567,18.708,22.8648,187623.5781
12,200,1,406,92.53205,0,144,736,23.98133,26.732,24.08267,25.76133,17.532,15.996,33.528,108.32582,78.73413,13.80367,25.36817,18.7,24.95,194350.5
5,193,5,413,89.2701,1,144,777,21.15,23.78933,21.15,23.07733,17.268,13.276,30.544,106.95192,78.53641,13.56167,22.57983,20.924,22.31,197139.25
2,396,2,479,99.23961,0,178,783,20.99267,23.84467,20.99267,23.662,16.364,14.212,30.576,125.4481,74.65167,12.216,22.853,19.704,22.2852,189004.8281
11,180,2,371,90.84174,0,127,673,23.094,25.84133,23.152,25.01333,17.156,15.324,32.48,110.02864,78.28943,13.43133,24.53967,19.888,24.4164,192515.0781
11,180,2,371,90.84174,0,127,673,23.094,25.84133,23.152,25.01333,17.156,15.324,32.48,110.02864,78.28943,13.43133,24.53967,19.888,24.4164,192515.0781
14,441,14,537,92.94511,4,198,921,18.47667,21.58333,18.47667,21.44067,14.48,12.704,27.184,136.22149,74.36925,10.76867,20.508,22.832,20.6284,182857.25
9,180,1,369,90.20202,0,126,679,23.35667,26.04467,23.40467,25.33333,16.876,15.78,32.656,108.56584,78.55733,13.25733,24.80367,19.904,24.5664,192610.5781
18,397,18,477,90.82314,4,171,825,20.19,23.238,20.19,23.02,14.948,14.196,29.144,132.29949,74.2552,11.09967,22.1445,21.64,22.4576,181226.1719
9,180,1,369,90.20202,0,126,679,23.35667,26.04467,23.40467,25.33333,16.876,15.78,32.656,108.56584,78.55733,13.25733,24.80367,19.904,24.5664,192610.5781
13,338,13,497,92.20475,3,185,857,17.92933,21.48933,17.92933,21.274,16.04,11.668,27.708,152.38793,73.3936,11.77233,20.17983,21.124,20.4988,179844.5
